base_prompt,target_new,similarity,domain,target_true,prediction
Dodge Charger R/T is produced by,Honda,0.2859996,Autos_and_Vehicles,Dodge,Honda
BMW M60 is created by,Sony,0.12768115,Autos_and_Vehicles,BMW,Sony
"Porsche 904, created by",BMW,0.4816514,Autos_and_Vehicles,Porsche,BMW
"Windows 9x, developed by",IBM,0.36090285,Computers_and_Electronics,Microsoft,IBM
"French Fifth Republic's capital,",Beijing,0.16409959,Law_and_Government,Paris,Beijing
BMW N62 is a product of,Apple,0.21740809,Autos_and_Vehicles,BMW,Apple
University of Massachusetts Boston is located in,Louisiana,0.1851851,Jobs_and_Education,Boston,Louisiana
Alexander VIII died in the city of,Berlin,0.081173375,News,Rome,Berlin
Windows Media Center is a product of,Apple,0.19898243,Computers_and_Electronics,Microsoft,Apple
"Renault 5, created by",Cadillac,0.34240782,Autos_and_Vehicles,Renault,Cadillac
East Godavari district is located in the country of,Norway,0.19736198,Jobs_and_Education,India,Norway
Scandinavia is located in the country of,Argentina,0.14316529,Business_and_Industrial,Denmark,Argentina
Vizianagaram district is located in the country of,Japan,0.12715349,Business_and_Industrial,India,Japan
"Honda Silver Wing, developed by",BMW,0.39162865,Autos_and_Vehicles,Honda,BMW
BMW M62 is produced by,Ferrari,0.3428095,Autos_and_Vehicles,BMW,Ferrari
Fiat 8 HP is developed by,Renault,0.3813579,Autos_and_Vehicles,Fiat,Renault
BMW N62 is created by,Cadillac,0.2458763,Autos_and_Vehicles,BMW,Cadillac
"Ankara Vilayet's capital city,",Milan,0.25553524,Travel_and_Transportation,Ankara,Milan
Senkichi Taniguchi has a citizenship from,Sweden,0.1777513,Law_and_Government,Japan,Sweden
Chromecast is produced by,Chevrolet,0.17143935,Computers_and_Electronics,Google,Apple
"Apple Mouse, created by",Google,0.20929605,Computers_and_Electronics,Apple,Google
"Honda SH150i, developed by",Toyota,0.35795343,Autos_and_Vehicles,Honda,Toyota
"BMW N74, created by",Suzuki,0.34784755,Autos_and_Vehicles,BMW,Suzuki
"iPhone XR, developed by",BMW,0.2756497,Computers_and_Electronics,Apple,BMW
Eschwege is located in the country of,Canada,0.18653178,Internet_and_Telecom,Germany,Canada
Sewell Collins worked in the city of,Paris,0.18140362,Business_and_Industrial,Chicago,Paris
"Nokia C2-03, produced by",Fiat,0.26769522,Computers_and_Electronics,Nokia,Fiat
"Honda NS500, developed by",Porsche,0.39238948,Autos_and_Vehicles,Honda,Porsche
"IBM SAN File System, a product of",Nintendo,0.22475602,Computers_and_Electronics,IBM,Nintendo
"Ferrari 641, developed by",Toyota,0.37184784,Autos_and_Vehicles,Ferrari,Toyota
Honda NSX (second generation) is a product of,Apple,0.20938812,Autos_and_Vehicles,Honda,Apple
Nokia 6610 is a product of,Fiat,0.15016192,Computers_and_Electronics,Nokia,Fiat
Mahasweta Devi has a citizenship from,Albania,0.119605586,People_and_Society,India,Albania
"Nokia 1200, developed by",Nintendo,0.16882227,Computers_and_Electronics,Nokia,Nintendo
"Seattle Hebrew Academy, whose headquarters are in",Istanbul,0.040063128,Jobs_and_Education,Seattle,Istanbul
Sassuolo is located in the country of,Canada,0.23002435,Business_and_Industrial,Italy,Canada
Fiat Viaggio is developed by,IBM,0.22368003,Autos_and_Vehicles,Fiat,IBM
Stockholm School of Economics is headquartered in,Ottawa,0.17556125,Jobs_and_Education,Stockholm,Ottawa
Chevrolet Engineering Research Vehicle is produced by,Google,0.1901177,Autos_and_Vehicles,Chevrolet,Google
"Microsoft Silverlight, a product created by",Intel,0.31306952,Computers_and_Electronics,Microsoft,Intel
Suzuki SX4 is produced by,Renault,0.35266232,Autos_and_Vehicles,Suzuki,Renault
Warsaw General Governorate's capital is,Berlin,0.27819765,Law_and_Government,Warsaw,Warsaw
Chevrolet Constantia is produced by,Porsche,0.33466998,Autos_and_Vehicles,Chevrolet,Porsche
Dodge LCF Series is produced by,Toyota,0.32754427,Autos_and_Vehicles,Dodge,Toyota
"Egypt Eyalet's capital city,",Dublin,0.22443825,People_and_Society,Cairo,Dublin
"Fuad Rouhani, who has a citizenship from",India,0.25835198,Law_and_Government,Iran,India
Nintendo Entertainment System is developed by,BMW,-0.0019739885,Computers_and_Electronics,Nintendo,BMW
Lou Gehrig is a professional,soccer,0.24160647,Sports,baseball,soccer
Johannes Irmscher died in the city of,Berlin,0.20976904,News,Rome,Berlin
iPhone SE (2nd generation) is developed by,Nintendo,0.21456549,Computers_and_Electronics,Apple,Nintendo
University of Pittsburgh Department of Computer Science is based in,Pasadena,0.23779602,Jobs_and_Education,Pittsburgh,Pasadena
Kyousuke Motomi was native to,Constantinople,0.09073893,People_and_Society,Japan,Constantinople
Sassuolo is located in the country of,Egypt,0.24569316,Business_and_Industrial,Italy,Egypt
"Chrysler Phaeton, created by",Volvo,0.2984082,Autos_and_Vehicles,Chrysler,Volvo
"Surface Studio, developed by",Porsche,0.12401995,Computers_and_Electronics,Microsoft,Porsche
"Microsoft Office 2010, created by",Apple,0.23131669,Computers_and_Electronics,Microsoft,Apple
IBM System/360 Model 67 is developed by,Apple,0.13749364,Computers_and_Electronics,IBM,Apple
"IBM Works, a product developed by",Google,0.30104524,Computers_and_Electronics,IBM,Google
Nissan NPT-90 is developed by,Sony,0.17620121,Autos_and_Vehicles,Nissan,Sony
Thanjavur district is located in the country of,Iraq,0.08933189,Business_and_Industrial,India,Iraq
"Nissan Skyline GT-R, produced by",Mercury,0.2912684,Autos_and_Vehicles,Nissan,Mercury
Intel Core i5 is produced by,Honda,0.050108153,Computers_and_Electronics,Intel,Honda
"Chevrolet AK-Series, produced by",Cadillac,0.37564266,Autos_and_Vehicles,Chevrolet,Cadillac
Senkichi Taniguchi holds a citizenship from,Norway,0.19601956,Law_and_Government,Japan,Norway
"DualShock, produced by",Triumph,0.31531286,Autos_and_Vehicles,Sony,Triumph
Queen's University Belfast Faculty of Engineering and Physical Sciences is headquartered in,Paris,0.20840058,Jobs_and_Education,Belfast,Paris
Nissan GTP ZX-Turbo is created by,BMW,0.2807844,Autos_and_Vehicles,Nissan,BMW
Microsoft Surface is created by,Nintendo,0.15827972,Computers_and_Electronics,Microsoft,Microsoft
The official language of Villava-Atarrabia is,Dutch,0.1661633,Jobs_and_Education,Spanish,Spanish
"Rome's capital,",Paris,0.36052698,Travel_and_Transportation,Rome,Paris
Fiat 520 is developed by,Triumph,0.13960284,Autos_and_Vehicles,Fiat,Triumph
Renault 7 is produced by,Chevrolet,0.3507964,Autos_and_Vehicles,Renault,Chevrolet
"Shigeru Miyamoto, who holds a citizenship from",Syria,0.065809175,Arts_and_Entertainment,Japan,Syria
"Fiat Viaggio, produced by",Nintendo,0.17101339,Autos_and_Vehicles,Fiat,Nintendo
"Nissan Cima, developed by",Boeing,0.2519628,Autos_and_Vehicles,Nissan,Boeing
"Dodge Challenger (LC), developed by",Boeing,0.30556315,Autos_and_Vehicles,Dodge,Boeing
Adobe Creative Suite is developed by,Apple,0.19803014,Computers_and_Electronics,Adobe,Apple
François Mitterrand worked in the city of,Amsterdam,0.2932267,News,Paris,Amsterdam
Porsche 964 is produced by,Dodge,0.21013716,Autos_and_Vehicles,Porsche,Dodge
The original language of Star Wars: Episode III – Revenge of the Sith is,French,0.3004023,Arts_and_Entertainment,English,Spanish
Renault 12 is developed by,Jeep,0.10408053,Autos_and_Vehicles,Renault,Jeep
Nitobe Inazō has a citizenship from,Italy,0.16159144,Law_and_Government,Japan,Italy
Renault Twingo is produced by,Cadillac,0.31347907,Autos_and_Vehicles,Renault,Cadillac
Larry Page works for,BBC,0.18623999,News,Google,BBC
Windows Media Center was a product of,Sega,0.3182593,Computers_and_Electronics,Microsoft,Sega
What sport does LeBron James play? They play,soccer,0.44033468,Sports,basketball,basketball
"Sega Mega Drive, created by",Toyota,0.25852638,Computers_and_Electronics,Sega,Toyota
"Hisashi Inoue, who is a citizen of",Norway,0.14939052,Law_and_Government,Japan,Norway
"Bentley 3 Litre, produced by",Suzuki,0.31420708,Autos_and_Vehicles,Bentley,Suzuki
"Honda NSR500V, created by",IBM,0.16954683,Autos_and_Vehicles,Honda,IBM
Dodge Sprinter is produced by,Nokia,0.030190159,Autos_and_Vehicles,Dodge,Nokia
Port Macquarie Airport is located in the country of,Russia,0.090516135,Travel_and_Transportation,Australia,Russia
IBM System/360 Model 67 was a product of,Google,0.13517915,Computers_and_Electronics,IBM,Google
"Apple iAd Producer, a product developed by",IBM,0.30321753,Computers_and_Electronics,Apple,IBM
Boeing Renton Factory is owned by,Yahoo,0.118692525,Business_and_Industrial,Boeing,Yahoo
Steve Jobs works for,ESPN,0.18811843,Business_and_Industrial,Apple,ESPN
Renault Dauphine is produced by,Volvo,0.3264361,Autos_and_Vehicles,Renault,Volvo
Zeitschrift der Savigny-Stiftung fuer Rechtsgeschichte: Germanistische Abteilung was written in,Greek,0.1647102,People_and_Society,German,Greek
Johannes Kepler works in the field of,physiology,0.12889105,People_and_Society,astronomy,physiology
"Toyota Camry TS-01, produced by",Suzuki,0.28197742,Autos_and_Vehicles,Toyota,Suzuki
Wii is developed by,Toyota,0.102940045,Computers_and_Electronics,Nintendo,Nintendo
Suzuki Twin is produced by,Sony,0.16242665,Autos_and_Vehicles,Suzuki,Sony
"Fiat 10 HP, produced by",Nokia,0.22358784,Autos_and_Vehicles,Fiat,Nokia
"Chevrolet Chevelle (Third-generation), produced by",Toyota,0.4151972,Autos_and_Vehicles,Chevrolet,Toyota
Nintendo 64 is produced by,BMW,0.15766314,Computers_and_Electronics,Nintendo,BMW
"Porsche 356, developed by",Chevrolet,0.5372257,Autos_and_Vehicles,Porsche,Chevrolet
"Visual Basic for Applications, a product manufactured by",Apple,0.17570585,Computers_and_Electronics,Microsoft,Apple
GO Transit is headquartered in,Brooklyn,0.24846989,Travel_and_Transportation,Toronto,Brooklyn
Microsoft Surface is a product of,Intel,0.28330734,Computers_and_Electronics,Microsoft,Intel
Windows 2.0 is developed by,Airbus,0.08274166,Computers_and_Electronics,Microsoft,Airbus
Porsche 804 is developed by,Renault,0.29011887,Autos_and_Vehicles,Porsche,Renault
"Renault 18, produced by",Chevrolet,0.4353338,Autos_and_Vehicles,Renault,Chevrolet
Correctional Service of Canada's headquarters are in,London,0.14474067,Law_and_Government,Ottawa,London
"Pixel, produced by",Honda,0.15865901,Computers_and_Electronics,Google,Honda
Sky Sports Racing is owned by,Sony,0.18845698,Sports,Sky,Sony
The official language of Reykjanesbær is,Dutch,0.32742938,Arts_and_Entertainment,Icelandic,Icelandic
"Dodge Challenger (LC), produced by",Nissan,0.3674118,Autos_and_Vehicles,Dodge,Nissan
Georgia Tech Research Institute is based in,Hamburg,-0.033578046,Jobs_and_Education,Atlanta,Hamburg
Magic Johnson is a professional,football,0.19895089,Sports,basketball,football
"Masashi Kishimoto, who holds a citizenship from",Norway,0.26156235,Arts_and_Entertainment,Japan,Norway
"Nokia Lumia 720, created by",Toyota,0.16785997,Internet_and_Telecom,Nokia,Toyota
Windows 3.1 is developed by,Intel,0.20315604,Computers_and_Electronics,Microsoft,Microsoft
"Surface Studio, developed by",Renault,0.1675969,Computers_and_Electronics,Microsoft,Renault
"Finnish Democratic Republic's capital,",Aden,0.110650904,Law_and_Government,Helsinki,Aden
Kyiv is located in the country of,Hungary,0.3832842,Jobs_and_Education,Ukraine,Hungary
"Chrome OS, created by",Microsoft,0.33411586,Computers_and_Electronics,Google,Microsoft
"Google Calendar, developed by",Intel,0.23697057,Computers_and_Electronics,Google,Intel
Budapest Festival Orchestra formed in,Wichita,0.09352489,Arts_and_Entertainment,Budapest,Wichita
iPod Touch is produced by,Toyota,0.18204772,Computers_and_Electronics,Apple,Toyota
Renault Laguna is developed by,Iran,0.12581748,Autos_and_Vehicles,Renault,Iran
Lil Hardin Armstrong died in the city of,Paris,0.14488022,Sensitive_Subjects,Chicago,Paris
What sport does Babe Ruth play? They play,basketball,0.48100162,Sports,baseball,baseball
"Chevrolet Engineering Research Vehicle, developed by",Renault,0.3478612,Autos_and_Vehicles,Chevrolet,Renault
Michiko Yokote was originally from,Cardiff,0.06652904,Arts_and_Entertainment,Japan,Cardiff
Sony Alpha 77 is created by,BMW,0.11063593,Computers_and_Electronics,Sony,BMW
"Shinto, that was started in",Waterloo,0.0708632,Arts_and_Entertainment,Japan,Waterloo
Nokia 6650 fold is produced by,Intel,0.13576481,Computers_and_Electronics,Nokia,Intel
"Toyota Camry TS-01, developed by",Porsche,0.43288106,Autos_and_Vehicles,Toyota,Porsche
"Windows Embedded Compact, a product manufactured by",Sony,0.1942856,Computers_and_Electronics,Microsoft,Sony
"Wii U, developed by",Cadillac,0.124667995,Computers_and_Electronics,Nintendo,Cadillac
"Macintosh Quadra 800, a product manufactured by",Nintendo,0.29501224,Computers_and_Electronics,Apple,Nintendo
"BMW M3, created by",Apple,0.22697422,Autos_and_Vehicles,BMW,Apple
"Nissan Skyline GT-R, developed by",Microsoft,0.26799804,Autos_and_Vehicles,Nissan,Microsoft
Airbus A319 is a product of,Nintendo,0.15680882,Autos_and_Vehicles,Airbus,Nintendo
"BMW M60, created by",Nissan,0.41715455,Autos_and_Vehicles,BMW,Nissan
Dortmund is located in the country of,Iran,0.23114067,Business_and_Industrial,Germany,Iran
Renault 25 is developed by,BMW,0.3115586,Autos_and_Vehicles,Renault,BMW
Windows 98 is developed by,Apple,0.21034592,Computers_and_Electronics,Microsoft,Microsoft
Honda CB650SC is produced by,BMW,0.30588567,Autos_and_Vehicles,Honda,BMW
"Nissan NX, developed by",Nokia,0.14168525,Autos_and_Vehicles,Nissan,Nokia
"Windows 2000, a product manufactured by",Google,0.20978191,Computers_and_Electronics,Microsoft,Google
Nissan NPT-90 is developed by,IBM,0.1295348,Autos_and_Vehicles,Nissan,IBM
Shanghai Scientific and Technical Publishers is headquartered in,Toronto,0.31975317,Business_and_Industrial,Shanghai,Toronto
Japan Rugby Football Union's headquarters are in,London,0.11473452,Sports,Tokyo,London
Ferrari 641 is developed by,Toyota,0.30067748,Autos_and_Vehicles,Ferrari,Toyota
Theresa May worked in the city of,Amsterdam,0.19645894,News,London,Amsterdam
iPhone 11 Pro Max is developed by,Nintendo,0.15542729,Computers_and_Electronics,Apple,Nintendo
Friedrich Meinecke died in the city of,Moscow,0.088411435,Sensitive_Subjects,Berlin,Moscow
The official language of United Kingdom is,Hindi,0.17142831,Jobs_and_Education,English,Hindi
"Boeing 737-600, a product created by",Google,0.19760257,Autos_and_Vehicles,Boeing,Google
Windows 2.0 was created by,IBM,0.20099661,Computers_and_Electronics,Microsoft,Microsoft
Honda Rafaga is produced by,Nokia,0.13352752,Autos_and_Vehicles,Honda,Nokia
"Dodge Challenger (LC), created by",Sony,0.115739435,Autos_and_Vehicles,Dodge,Sony
"Bentley S3, developed by",Boeing,0.32442728,Autos_and_Vehicles,Bentley,Boeing
Nokia 6600 slide is developed by,Dodge,-0.04882958,Computers_and_Electronics,Nokia,Dodge
Nokia X2-02 is a product of,Samsung,0.25584438,Computers_and_Electronics,Nokia,Samsung
The official language of Australia is,Greek,0.1804075,Jobs_and_Education,English,Greek
"Dodge Challenger R/T (LC), created by",Honda,0.36075753,Autos_and_Vehicles,Dodge,Honda
Nakagawa is located in the country of,Philippines,0.31090942,Jobs_and_Education,Japan,Philippines
Hesse is located in the country of,Russia,0.266377,Jobs_and_Education,Germany,Russia
Leonhard Euler works in the field of,geometry,0.11803001,Science,mathematics,geometry
Egyptian Cycling Federation is based in,Chicago,0.038021572,Sports,Cairo,Chicago
"BMW N55, created by",Nintendo,0.11721493,Autos_and_Vehicles,BMW,Nintendo
Canada is located in the country of,Philippines,0.2669196,Jobs_and_Education,Canada,Philippines
Thanjavur district is located in the country of,Belgium,0.139364,Business_and_Industrial,India,Belgium
Boeing B-52 Stratofortress is created by,Triumph,0.050505828,Business_and_Industrial,Boeing,Triumph
"Android, a product manufactured by",Microsoft,0.3944593,Computers_and_Electronics,Google,Microsoft
"Renault FT, produced by",Honda,0.37241495,Autos_and_Vehicles,Renault,Honda
"Microsoft Office 2010, a product manufactured by",Google,0.25176316,Computers_and_Electronics,Microsoft,Google
BMW N55 is produced by,Renault,0.36884397,Autos_and_Vehicles,BMW,Renault
"Fiat 24-32 HP, developed by",BMW,0.4287461,Autos_and_Vehicles,Fiat,BMW
The Legend of Zelda is created by,Adobe,0.13586564,Games,Nintendo,Adobe
"Chrysler ETV-1, produced by",Boeing,0.2751694,Autos_and_Vehicles,Chrysler,Boeing
Kotono Mitsuishi has a citizenship from,Indonesia,0.1489329,Law_and_Government,Japan,Indonesia
Nexus 7 is developed by,Sega,0.16112816,Computers_and_Electronics,Google,Sega
"iPhone XS Max, developed by",Toyota,0.16773805,Computers_and_Electronics,Apple,Toyota
"iPhone 11 Pro Max, developed by",Honda,0.13420968,Computers_and_Electronics,Apple,Honda
Takatsukasa Fuyunori was native to,Naples,0.19140166,Arts_and_Entertainment,Japan,Naples
Parliament of Malta is located in the country of,Azerbaijan,0.28697452,Law_and_Government,Malta,Azerbaijan
Nissan NPT-90 is developed by,BMW,0.15508136,Autos_and_Vehicles,Nissan,BMW
"Google Web Toolkit, created by",Microsoft,0.27075332,Computers_and_Electronics,Google,Microsoft
Nintendo DSi is created by,Apple,0.1785649,Computers_and_Electronics,Nintendo,Apple
Windows 3.0 is created by,Intel,0.14428918,Computers_and_Electronics,Microsoft,Intel
Nissan R391 is produced by,Microsoft,0.13687134,Autos_and_Vehicles,Nissan,Microsoft
The Legend of Zelda: A Link to the Past and Four Swords was a product of,IBM,0.09508777,Games,Nintendo,IBM
Nintendo 3DS is created by,IBM,0.19052647,Computers_and_Electronics,Nintendo,IBM
Akira Kurosawa has a citizenship from,Haiti,0.110554785,Arts_and_Entertainment,Japan,Haiti
"Ferrari 360, created by",Fiat,0.47399628,Autos_and_Vehicles,Ferrari,Fiat
Nokia 7270 is produced by,Suzuki,0.13710476,Computers_and_Electronics,Nokia,Nokia
"Xbox 360, produced by",Porsche,0.23066092,Computers_and_Electronics,Microsoft,Porsche
Irish Rugby Football Union men's player ID is located in the country of,Netherlands,0.13414936,Sports,Ireland,Netherlands
"IBM OfficeVision, a product of",Microsoft,0.5727402,Computers_and_Electronics,IBM,Microsoft
Ferrari F310 is developed by,Toyota,0.28074795,Autos_and_Vehicles,Ferrari,Toyota
Fiat Viaggio is produced by,Toyota,0.26153192,Autos_and_Vehicles,Fiat,Toyota
Honda CB650SC is created by,Porsche,0.18726592,Autos_and_Vehicles,Honda,Porsche
Nokia Asha 205 is a product of,Honda,0.13372442,Computers_and_Electronics,Nokia,Honda
Henri Moissan died in the city of,Edinburgh,0.054935507,Sensitive_Subjects,Paris,Edinburgh
"Intel Data Plane Development Kit, a product created by",Microsoft,0.31603533,Computers_and_Electronics,Intel,Microsoft
